NACA0010 
 1.000000  0.001050
  0.998459  0.001230
  0.993844  0.001767
  0.986185  0.002652
  0.975528  0.003869
  0.961940  0.005398
  0.945503  0.007215
  0.926320  0.009291
  0.904508  0.011595
  0.880203  0.014095
  0.853553  0.016756
  0.824724  0.019543
  0.793893  0.022421
  0.761249  0.025353
  0.726995  0.028302
  0.691342  0.031230
  0.654508  0.034098
  0.616723  0.036864
  0.578217  0.039486
  0.539230  0.041919
  0.500000  0.044117
  0.460770  0.046034
  0.421783  0.047623
  0.383277  0.048841
  0.345492  0.049646
  0.308658  0.050000
  0.273005  0.049873
  0.238751  0.049243
  0.206107  0.048095
  0.175276  0.046424
  0.146447  0.044236
  0.119797  0.041545
  0.095492  0.038374
  0.073680  0.034754
  0.054497  0.030722
  0.038060  0.026316
  0.024472  0.021578
  0.013815  0.016545
  0.006156  0.011253
  0.001541  0.005731
  0.000000  0.000000
  0.001541 -0.005731
  0.006156 -0.011253
  0.013815 -0.016545
  0.024472 -0.021578
  0.038060 -0.026316
  0.054497 -0.030722
  0.073680 -0.034754
  0.095492 -0.038374
  0.119797 -0.041545
  0.146447 -0.044236
  0.175276 -0.046424
  0.206107 -0.048095
  0.238751 -0.049243
  0.273005 -0.049873
  0.308658 -0.050000
  0.345492 -0.049646
  0.383277 -0.048841
  0.421783 -0.047623
  0.460770 -0.046034
  0.500000 -0.044117
  0.539230 -0.041919
  0.578217 -0.039486
  0.616723 -0.036864
  0.654508 -0.034098
  0.691342 -0.031230
  0.726995 -0.028302
  0.761249 -0.025353
  0.793893 -0.022421
  0.824724 -0.019543
  0.853553 -0.016756
  0.880203 -0.014095
  0.904508 -0.011595
  0.926320 -0.009291
  0.945503 -0.007215
  0.961940 -0.005398
  0.975528 -0.003869
  0.986185 -0.002652
  0.993844 -0.001767
  0.998459 -0.001230
  1.000000 -0.001050
