1.0000	0.0000
0.9500	0.0234
0.9000	0.0492
0.8500	0.0781
0.8000	0.1095
0.7500	0.1462
0.7000	0.1832
0.6500	0.2240
0.6000	0.2673
0.5500	0.3089
0.5000	0.3383
0.4500	0.3564
0.4000	0.3633
0.3500	0.3664
0.3000	0.3642
0.2500	0.3537
0.2000	0.3320
0.1500	0.3029
0.1000	0.2576
0.0500	0.1898
0.0000	0.0025
0.0000	0.0000
0.0500	-0.1031
0.1000	-0.0923
0.1500	-0.0806
0.2000	-0.0683
0.2500	-0.0589
0.3000	-0.0450
0.3500	-0.0360
0.4000	-0.0251
0.4500	-0.0163
0.5000	-0.0158
0.5500	-0.0069
0.6000	0.0029
0.6500	0.0040
0.7000	0.0066
0.7500	0.0094
0.8000	0.0087
0.8500	0.0076
0.9000	0.0062
0.9500	0.0031
1.0000	0.0000
